_id,id,trip_id,schedule_relationship,route_id,direction_id,latitude,longitude,odometer,speed,current_stop_sequence,current_status,timestamp,stop_id
656c8b21cf3742cf5526e477,10f14661-f9c2-46c0-8f70-9a1e6cc5356c,d36a5aed-331b-4f71-9021-c0b93a68d33f,SCHEDULED,dab21f09-65f7-409e-a66b-5c9e31625d2a,,44.414196,-79.70989,19800499.0,,STOPPED_AT,1701612287,5f049901-5009-4299-883f-b0912a08eb9f,2302
656c8b23cf3742cf5526e478,3f6631d0-bf40-448f-ab56-0b968ddaad17,aecd6920-d909-4f9b-9abd-975082fda027,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1,44.366657,-79.66304,164691300.0,11.82844670,IN_TRANSIT_TO,1701612287,6acc2847-34d9-4071-97a9-bde024231b42,2202
656c8b23cf3742cf5526e479,cffa43f2-71f5-4c83-94a6-648a06bb1b40,1dd5ebd2-8dcd-4a3c-88e9-af4a6e334573,SCHEDULED,5d3a25c7-5554-4f06-87ca-992a7e8c4e7b,,44.341534,-79.6625,630791601.0,13.53663855,IN_TRANSIT_TO,1701612287,5770bc70-ff65-4072-8c23-f103f427ce77,1403
656c8b23cf3742cf5526e47a,e8ecf031-2670-4333-82b5-d2ca3a1ee244,797ad682-a88a-44f4-ab24-e2eb29113f89,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,,44.359978,-79.70038,496999501.0,12.60684269,IN_TRANSIT_TO,1701612287,991d229a-e6f2-4535-9a25-fcbf840c1cb5,1706
656c8b24cf3742cf5526e47b,02155a60-ef99-420b-a797-6217f8c979cf,56bd45b9-ff55-4a77-acc6-5b076f7652e1,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,,44.400703,-79.6516,168199404.0,34,IN_TRANSIT_TO,1701612287,5b0864be-155e-4572-9afb-44a531f4b1da,2204
656c8b24cf3742cf5526e47c,ec070f42-ab75-4a34-92cb-799220af7b95,d174d1b0-f9b6-4573-9cea-b7d54acf0fe7,SCHEDULED,187049e4-1fe7-4675-999b-2dc12139a97e,,44.367893,-79.69233,601037301.0,0.681165677,IN_TRANSIT_TO,1701612287,ebaf6d67-fe9a-4087-884f-90d4ac43c1ec,1201
656c8b43cf3742cf5526e47d,10f14661-f9c2-46c0-8f70-9a1e6cc5356c,d36a5aed-331b-4f71-9021-c0b93a68d33f,SCHEDULED,dab21f09-65f7-409e-a66b-5c9e31625d2a,,44.41419,-79.709915,19800499.0,0.823677,STOPPED_AT,1701612317,5f049901-5009-4299-883f-b0912a08eb9f,2302
656c8b43cf3742cf5526e47e,3f6631d0-bf40-448f-ab56-0b968ddaad17,aecd6920-d909-4f9b-9abd-975082fda027,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1,44.3663,-79.662544,164691400.0,70,IN_TRANSIT_TO,1701612317,6acc2847-34d9-4071-97a9-bde024231b42,2202
656c8b43cf3742cf5526e47f,cffa43f2-71f5-4c83-94a6-648a06bb1b40,1dd5ebd2-8dcd-4a3c-88e9-af4a6e334573,SCHEDULED,5d3a25c7-5554-4f06-87ca-992a7e8c4e7b,,44.345608,-79.66356,630792101.0,14.08751655,IN_TRANSIT_TO,1701612317,5770bc70-ff65-4072-8c23-f103f427ce77,1403
656c8b43cf3742cf5526e480,e8ecf031-2670-4333-82b5-d2ca3a1ee244,797ad682-a88a-44f4-ab24-e2eb29113f89,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,,44.362747,-79.703384,497000001.0,12.2068169,IN_TRANSIT_TO,1701612317,991d229a-e6f2-4535-9a25-fcbf840c1cb5,1706
