_id,id,trip_id,schedule_relationship,route_id,direction_id,latitude,longitude,odometer,speed,current_stop_sequence,current_status,timestamp,stop_id,congestion_level
656d2949cf3742cf5526efe4,c4b80d50-75ac-40ba-a070-72d6d9de9b63,46075a10-f554-409b-9889-92d9cb82e032,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.411648,-79.67361,532975999.0,10.48833915,IN_TRANSIT_TO,1701652761,8bd7be74-6e4a-4f8e-b898-fccc3563d4be,1707,4
656d294acf3742cf5526efe8,5af54e49-d005-4cbf-90e4-bc42b52593ad,c43aa90a-8ba3-4996-91ae-31904f9535e4,SCHEDULED,605702ef-34fb-4f95-bc52-25022968f4af,1.0,44.38757,-79.6909,714857799.0,71.0,IN_TRANSIT_TO,1701652761,837579f7-8c0e-4fb3-980c-2f73d3f4977e,1503,0
656d294ccf3742cf5526eff0,02155a60-ef99-420b-a797-6217f8c979cf,ac7525e8-278f-4c2c-807c-0a9db8a9a96a,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.34828,-79.62847,168423104.0,10.82781187,IN_TRANSIT_TO,1701652761,201c8c2a-b362-486b-b3af-499d67bddfba,2204,4
656d296ccf3742cf5526eff5,c4b80d50-75ac-40ba-a070-72d6d9de9b63,46075a10-f554-409b-9889-92d9cb82e032,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.410503,-79.676796,532976399.0,10.89309416,IN_TRANSIT_TO,1701652821,2194aa2e-43f9-49ae-8fac-775438ab264f,1707,4
656d296dcf3742cf5526eff9,5af54e49-d005-4cbf-90e4-bc42b52593ad,c43aa90a-8ba3-4996-91ae-31904f9535e4,SCHEDULED,605702ef-34fb-4f95-bc52-25022968f4af,1.0,44.38757,-79.6909,714857799.0,71.0,IN_TRANSIT_TO,1701652821,837579f7-8c0e-4fb3-980c-2f73d3f4977e,1503,0
656d296fcf3742cf5526f001,02155a60-ef99-420b-a797-6217f8c979cf,ac7525e8-278f-4c2c-807c-0a9db8a9a96a,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.346207,-79.637794,168423804.0,13.477189189,IN_TRANSIT_TO,1701652821,a37224db-267a-4741-810d-1ad2114752b8,2204,4
656d298ecf3742cf5526f006,c4b80d50-75ac-40ba-a070-72d6d9de9b63,46075a10-f554-409b-9889-92d9cb82e032,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.408794,-79.680664,532976699.0,13.64859222,IN_TRANSIT_TO,1701652851,130939a4-bfa2-4225-a46a-d65c663c27bf,1707,4
656d298fcf3742cf5526f00a,5af54e49-d005-4cbf-90e4-bc42b52593ad,c43aa90a-8ba3-4996-91ae-31904f9535e4,SCHEDULED,605702ef-34fb-4f95-bc52-25022968f4af,1.0,44.38757,-79.6909,714857799.0,71.0,IN_TRANSIT_TO,1701652851,837579f7-8c0e-4fb3-980c-2f73d3f4977e,1503,0
656d2992cf3742cf5526f013,02155a60-ef99-420b-a797-6217f8c979cf,ac7525e8-278f-4c2c-807c-0a9db8a9a96a,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.345142,-79.642555,168424304.0,11.223676189,IN_TRANSIT_TO,1701652851,a37224db-267a-4741-810d-1ad2114752b8,2204,4
656d29b2cf3742cf5526f018,c4b80d50-75ac-40ba-a070-72d6d9de9b63,46075a10-f554-409b-9889-92d9cb82e032,SCHEDULED,1615e5c0-3157-4f13-9e78-011638725e02,1.0,44.407475,-79.68484,532977099.0,5.43265722,IN_TRANSIT_TO,1701652881,130939a4-bfa2-4225-a46a-d65c663c27bf,1707,4
